Speaker,Attendee,rep_id,Date,Title,Location
6878406951,"[{""NPI"":""9017679476""},{""NPI"":""1719757712""},{""NPI"":""3363262787""}]",3657266776,1/12/2019,libero quis orci nullam molestie,Kronoby
0517813653,"[{""NPI"":""3952117293""},{""NPI"":""7389956135""}]",2018303913,9/15/2019,dictumst aliquam augue,Tzaneen
3236424613,"[{""NPI"":""0589084259""},{""NPI"":""7868420863""},{""NPI"":""9584980424""}]",5052121516,11/8/2018,semper est quam pharetra magna,Červenka
3999490004,"[{""NPI"":""2305031602""},{""NPI"":""7647294385""},{""NPI"":""7295802991""}]",6154184348,7/25/2019,ante ipsum primis in,Rio Grande da Serra
0543863719,"[{""NPI"":""5529429394""},{""NPI"":""3873936240""},{""NPI"":""7397425801""},{""NPI"":""3182668366""}]",9062680120,5/7/2019,felis fusce posuere felis,Dadus
2799293735,"[{""NPI"":""8290378645""},{""NPI"":""0355213559""}]",9733918753,4/10/2019,nulla dapibus dolor,Živinice
8726245728,"[{""NPI"":""8558938288""},{""NPI"":""8082389370""},{""NPI"":""3784981348""},{""NPI"":""3088034197""}]",3189040010,12/23/2018,arcu sed augue aliquam,San Antonio
1505044200,"[{""NPI"":8497158482}]",2558457742,9/19/2019,nisl duis ac,Los Ángeles
2649292431,"[{""NPI"":""4610275910""},{""NPI"":""0194595889""},{""NPI"":""3528589825""},{""NPI"":""4382740339""}]",9216063762,5/4/2019,eros suspendisse accumsan tortor,Aurora
9211918448,"[{""NPI"":""7703794171""},{""NPI"":""7534473918""},{""NPI"":""0631463429""},{""NPI"":""7168740733""},{""NPI"":""2613282886""}]",7572936707,3/14/2019,pellentesque volutpat dui,Jijiga
0172096243,"[{""NPI"":""3914371749""},{""NPI"":""0014579480""},{""NPI"":""5377996526""},{""NPI"":""5709621072""},{""NPI"":""2162685434""}]",3942618426,3/24/2019,in faucibus orci luctus,Bagakay
2921028719,"[{""NPI"":""3952117293""},{""NPI"":""1857504992""},{""NPI"":""5725541533""},{""NPI"":""9024129249""}]",9956049787,4/1/2019,platea dictumst aliquam augue,Sandaohezi
2400730555,"[{""NPI"":""8669403862""}]",7467622512,4/5/2019,dolor sit amet consectetuer,Strzyżowice
0597646872,"[{""NPI"":""0885049578""},{""NPI"":""7389956135""},{""NPI"":""7803902359""},{""NPI"":""2921028719""}]",0319613959,5/28/2019,sed justo pellentesque viverra pede,Kuzhuping
6273581444,"[{""NPI"":""8640861250""},{""NPI"":""4785806230""},{""NPI"":""5326835592""},{""NPI"":""9567453721""}]",6782302916,9/26/2019,nunc viverra dapibus nulla,Suncheon
0560581432,"[{""NPI"":""2983494160""},{""NPI"":""2267057123""},{""NPI"":""2653744104""}]",5959201234,4/29/2019,erat tortor sollicitudin,Salaš Crnobarski
1719757712,"[{""NPI"":""5338463008""},{""NPI"":""3182668366""},{""NPI"":""4356686772""},{""NPI"":""7855327584""}]",9113946353,8/4/2019,integer ac leo pellentesque ultrices,Heidelberg
7803902359,"[{""NPI"":""6380993843""},{""NPI"":""4503499041""},{""NPI"":""3552908145""},{""NPI"":""9037061133""}]",9783907565,3/11/2019,quam a,Hønefoss
5829196514,"[{""NPI"":""7002885340""},{""NPI"":""8419005819""},{""NPI"":""5909220837""},{""NPI"":""3898357457""},{""NPI"":""6453132370""}]",7477722101,11/10/2018,nulla ac,Wangping
1777453291,"[{""NPI"":""6808451869""}]",4270296128,10/8/2019,lacus morbi,Namioka
