author_list,NPI,pub_id,pub_title,pub_date,journal_date
"[{""NPI"":""3853627595""},{""NPI"":""4749261777""}]",8881136856,95500050,augue vel accumsan,9/30/2007,2/11/2011
"[{""NPI"":""9709431773""},{""NPI"":""1831256479""},{""NPI"":""3251534963""},{""NPI"":""0969075561""},{""NPI"":""7002885340""}]",5435385431,48159036,sit amet consectetuer,12/19/2013,2/15/2015
"[{""NPI"":""3603725174""},{""NPI"":""3324470730""},{""NPI"":""5984020769""},{""NPI"":""5458603362""}]",7854121877,72999116,in magna bibendum imperdiet nullam orci,9/19/2007,7/27/2006
"[{""NPI"":""8726245728""}]",6410306830,73788495,a odio in hac habitasse platea,12/19/2008,3/28/2006
"[{""NPI"":""5156132464""},{""NPI"":""4426041805""},{""NPI"":""8846736419""}]",6727825513,64960713,quis tortor id,2/3/2016,4/13/2006
"[{""NPI"":""4592756320""},{""NPI"":""9528731074""},{""NPI"":""3853713084""},{""NPI"":""0814026133""},{""NPI"":""3182668366""}]",8471573857,65521539,porttitor id consequat in consequat,1/10/2013,12/26/2007
"[{""NPI"":""7162880134""},{""NPI"":""8293896841""},{""NPI"":""3195390361""}]",0317242318,43393414,praesent blandit,3/10/2008,11/7/2015
"[{""NPI"":""5716356397""},{""NPI"":""2815572060""}]",1784464848,23823321,montes nascetur ridiculus,11/15/2018,7/25/2011
"[{""NPI"":""9106007465""},{""NPI"":""9220794535""},{""NPI"":""3126374158""},{""NPI"":""8274332342""},{""NPI"":""9916276722""}]",0543863719,73158474,ac consequat metus,5/25/2017,7/15/2008
"[{""NPI"":""2792742674""},{""NPI"":4584282374},{""NPI"":""5901153812""},{""NPI"":""9159223766""}]",5909220837,59424020,in,8/19/2017,1/28/2017
"[{""NPI"":""1141858053""},{""NPI"":""3267657024""}]",0359405274,57804731,sed nisl nunc rhoncus dui vel,1/9/2009,1/2/2014
"[{""NPI"":""2267057123""},{""NPI"":""0444040579""},{""NPI"":""2332419470""},{""NPI"":""6454051366""},{""NPI"":""5215506973""},{""NPI"":""1065893191""}]",2983937348,62876444,a suscipit nulla,7/13/2014,11/18/2016
"[{""NPI"":""9768233729""},{""NPI"":""0168984695""},{""NPI"":""3251534963""},{""NPI"":""7758980430""},{""NPI"":""9709431773""}]",3214812874,45786012,non lectus aliquam sit,12/7/2008,4/18/2006
"[{""NPI"":""4571188919""}]",3482086494,74007442,eleifend donec ut dolor,10/21/2015,11/3/2017
"[{""NPI"":""2861511761""},{""NPI"":""1581686382""},{""NPI"":""7180013633""}]",3929651106,54947140,sollicitudin mi sit amet lobortis,3/9/2014,6/30/2010
"[{""NPI"":""3915637696""}]",7496386340,21884690,amet diam in magna bibendum imperdiet,3/11/2016,2/25/2010
"[{""NPI"":""1335498311""},{""NPI"":""1789876931""},{""NPI"":""7080997771""},{""NPI"":""4320089642""},{""NPI"":""6878406951""},{""NPI"":""7329346977""}]",3490696336,83474153,in,4/21/2011,7/13/2009
"[{""NPI"":""2439798762""},{""NPI"":""7578435884""},{""NPI"":""3486136194""}]",0560581432,37620208,venenatis turpis enim blandit mi in,11/13/2017,9/4/2019
"[{""NPI"":2799293735},{""NPI"":""9907182656""},{""NPI"":""0355213559""}]",1300336978,06386540,elit proin interdum mauris non,1/2/2013,10/31/2018
"[{""NPI"":""7332735520""},{""NPI"":""3069708528""},{""NPI"":""9040239207""},{""NPI"":""8047416294""},{""NPI"":""5785628651""}]",2122646853,69594454,sit amet cursus id turpis,5/21/2017,7/10/2014
"[{""NPI"":""7823301016""}]",3490696336,00072548,a odio in hac habitasse,5/18/2008,2/15/2006
"[{""NPI"":1334014582},{""NPI"":""5505604110""},{""NPI"":""2792742674""},{""NPI"":""3530163740""},{""NPI"":""7954677850""}]",4026044416,65096998,nibh in hac habitasse platea dictumst,4/14/2007,3/4/2010
"[{""NPI"":""9878050912""},{""NPI"":""5175122185""}]",2255021978,66530354,at,4/24/2012,7/31/2007
"[{""NPI"":""0204303192""},{""NPI"":""2067408038""}]",6267007324,87249438,proin at,3/17/2016,5/14/2010
"[{""NPI"":""1709404426""},{""NPI"":""4344885791""},{""NPI"":""7330842532""},{""NPI"":""4037130068""},{""NPI"":""6314554896""}]",0822837102,07940936,sem fusce consequat nulla nisl,3/11/2018,6/7/2010
"[{""NPI"":""7576240857""},{""NPI"":""8728427270""},{""NPI"":""1229100660""},{""NPI"":""0304207977""},{""NPI"":""7329346977""}]",0204303192,40204006,in,8/29/2014,11/22/2018
"[{""NPI"":""7025549576""},{""NPI"":""8515315831""},{""NPI"":""2615817787""}]",4547095469,67965489,lectus aliquam sit amet,10/7/2007,11/17/2015
"[{""NPI"":""0168984695""},{""NPI"":""1164206443""}]",6123749420,10233540,at turpis a pede posuere nonummy,12/18/2016,1/4/2015
"[{""NPI"":""9415188421""},{""NPI"":""2696982910""},{""NPI"":""5068277177""},{""NPI"":""2696982910""}]",0242094686,12328081,tempus,9/13/2011,3/3/2010
"[{""NPI"":""6163978005""},{""NPI"":""9593022589""},{""NPI"":""8384460841""},{""NPI"":""1082842753""},{""NPI"":""4014188493""}]",1968499628,79444779,tellus in,1/4/2017,6/21/2011
"[{""NPI"":""7643242038""},{""NPI"":""0805024921""},{""NPI"":""4547095469""},{""NPI"":""8410022966""},{""NPI"":""7008052871""},{""NPI"":""9075745176""}]",0805024921,37701901,nulla ultrices aliquet maecenas leo odio,10/21/2014,6/27/2011
"[{""NPI"":""1504447093""},{""NPI"":""7482370919""}]",3498470523,10738984,ac enim in tempor,8/17/2010,6/20/2018
"[{""NPI"":""3483434402""},{""NPI"":""5743580006""}]",8825429649,68917368,amet erat nulla tempus,4/7/2016,10/18/2007
"[{""NPI"":""3999490004""},{""NPI"":""7478060420""}]",7803729053,91280781,orci luctus et ultrices posuere cubilia,1/17/2018,10/16/2018
"[{""NPI"":""4727502631""},{""NPI"":""1662892039""},{""NPI"":""5888024694""},{""NPI"":""4324613613""}]",2210247446,69764843,mauris sit amet,10/16/2012,12/6/2015
"[{""NPI"":""8225902939""}]",3921977835,05192909,accumsan,3/25/2016,9/5/2016
"[{""NPI"":""2730564101""},{""NPI"":""8269024465""},{""NPI"":""5178491114""},{""NPI"":""4727502631""},{""NPI"":""7281416555""}]",9032904183,87589599,nam congue risus semper porta volutpat,12/14/2011,2/22/2010
"[{""NPI"":""8716942612""}]",1431658529,67155021,fusce posuere felis sed,9/25/2017,9/10/2010
"[{""NPI"":""2579087966""}]",3933010675,27357301,amet,5/13/2008,7/28/2007
"[{""NPI"":""3110594684""},{""NPI"":""8384460841""},{""NPI"":""0268243751""},{""NPI"":""4059395536""},{""NPI"":""4320089642""}]",4194367707,59386599,consequat ut nulla,10/27/2012,7/1/2008
"[{""NPI"":""8349541881""},{""NPI"":""6243520382""},{""NPI"":""8740215644""},{""NPI"":""3267657024""}]",1763414329,82532425,purus eu magna vulputate luctus,5/25/2007,3/28/2013
"[{""NPI"":""8362755792""},{""NPI"":""5068277177""},{""NPI"":""4295459798""},{""NPI"":""2225887047""}]",7008052871,80464699,nec dui luctus rutrum nulla tellus,10/9/2006,2/8/2011
"[{""NPI"":""0813028183""},{""NPI"":""3343410578""},{""NPI"":""5215506973""},{""NPI"":""5532819459""}]",2861511761,85098458,condimentum neque sapien placerat,2/20/2016,5/18/2018
"[{""NPI"":""3983213499""},{""NPI"":""8372755299""},{""NPI"":""1188042106""},{""NPI"":""5348623156""}]",6380993843,16989912,ante ipsum primis,10/22/2009,4/8/2019
"[{""NPI"":""0351710353""},{""NPI"":""3789463159""}]",2047782147,50824647,quis lectus suspendisse potenti,11/22/2006,12/21/2007
"[{""NPI"":""6193009574""},{""NPI"":4961943819}]",6273581444,26579216,risus dapibus augue vel accumsan,6/13/2006,5/17/2017
"[{""NPI"":""9041868070""},{""NPI"":""9869563791""},{""NPI"":""1944404163""},{""NPI"":""7180013633""}]",6683286191,60640149,at velit vivamus vel nulla eget,3/25/2013,7/20/2015
"[{""NPI"":""1542961793""}]",2595448781,05793847,sed vestibulum,11/26/2011,2/26/2018
"[{""NPI"":""1346802653""},{""NPI"":""0573786062""},{""NPI"":""7008052871""}]",5497157297,62280227,in hac habitasse,10/21/2008,9/21/2013
"[{""NPI"":""3182668366""},{""NPI"":""4026044416""},{""NPI"":""9268878763""},{""NPI"":""6834840893""},{""NPI"":1283066823},{""NPI"":""3088034197""}]",2305031602,85423790,ipsum dolor sit,3/22/2006,8/4/2012
"[{""NPI"":""5303068692""}]",5068277177,72567952,mauris viverra diam vitae quam,4/30/2017,5/30/2018
"[{""NPI"":""8117774542""},{""NPI"":""9075745176""},{""NPI"":""7803729053""},{""NPI"":""1796503207""}]",6098052913,64535184,turpis,6/30/2007,6/1/2019
"[{""NPI"":""6314554896""},{""NPI"":""4418777318""}]",6345612162,74115698,primis,12/30/2017,9/25/2006
"[{""NPI"":""0647118076""},{""NPI"":""1938216857""},{""NPI"":""8278518521""},{""NPI"":""2983937348""},{""NPI"":4529860833},{""NPI"":""9211918448""}]",1383278415,39490660,quis,9/17/2010,9/28/2012
"[{""NPI"":""3343410578""},{""NPI"":""0951779311""},{""NPI"":""3676913345""},{""NPI"":""3805953550""},{""NPI"":""3528589825""}]",6834840893,03206490,sem mauris laoreet ut,8/19/2017,2/9/2014
"[{""NPI"":9392991037},{""NPI"":""4037130068""}]",3674094150,39909363,aliquam erat,1/25/2006,9/17/2011
"[{""NPI"":""5049892627""},{""NPI"":""2624383247""},{""NPI"":""1300336978""}]",6676168707,02754634,consequat lectus in est risus auctor,11/18/2018,8/3/2019
"[{""NPI"":""6243520382""},{""NPI"":""2100427393""},{""NPI"":""0134892658""},{""NPI"":""9444803023""},{""NPI"":""1699710619""},{""NPI"":""9300978942""}]",4727502631,39259508,maecenas tincidunt lacus at velit,11/14/2018,9/24/2016
"[{""NPI"":""1270474286""},{""NPI"":""5326835592""},{""NPI"":""4727502631""},{""NPI"":""7621291974""}]",9530992297,10444807,eleifend pede libero quis orci nullam,3/1/2015,7/7/2018
"[{""NPI"":""3653644135""},{""NPI"":""4020282412""}]",2776868839,81700137,pellentesque,11/2/2013,5/6/2018
"[{""NPI"":""1349060569""},{""NPI"":""2472644922""},{""NPI"":""7542302124""}]",9689424033,49897568,ac nulla sed,11/14/2013,1/19/2016
"[{""NPI"":""7854121877""}]",1944885390,56164490,ut,6/18/2016,10/30/2014
"[{""NPI"":""6835294825""},{""NPI"":""1270474286""},{""NPI"":""2313047911""},{""NPI"":""4054702856""},{""NPI"":""1670762823""},{""NPI"":""8033848154""}]",3018306953,84142928,auctor gravida sem praesent id massa,10/23/2006,2/1/2012
"[{""NPI"":""5143994675""},{""NPI"":""0849244617""},{""NPI"":""0805024921""},{""NPI"":""1087967872""}]",3853627595,10094689,donec quis orci eget,9/6/2011,8/24/2008
"[{""NPI"":""9899200263""},{""NPI"":""7714899778""},{""NPI"":""1831256479""}]",4555770706,35652086,orci,4/26/2006,11/23/2008
"[{""NPI"":""3603725174""},{""NPI"":""4026044416""},{""NPI"":""7473462687""},{""NPI"":""3059594066""}]",0632028866,62308350,rhoncus aliquet pulvinar sed,2/17/2010,9/29/2011
"[{""NPI"":""9674935967""},{""NPI"":""3517223859""},{""NPI"":""3483434402""},{""NPI"":""4236706679""}]",2067895206,80939165,dis parturient montes,7/25/2018,10/11/2011
"[{""NPI"":""0317242318""},{""NPI"":""0536506000""},{""NPI"":""2332419470""},{""NPI"":""3375816359""},{""NPI"":""9326646025""}]",5559792225,39278558,phasellus sit amet erat,9/25/2010,3/4/2012
"[{""NPI"":""0525803807""},{""NPI"":""5215506973""},{""NPI"":""4014188493""},{""NPI"":""0221661883""}]",4607312894,10589581,praesent blandit nam,11/5/2015,10/11/2006
"[{""NPI"":""0805024921""},{""NPI"":""8034781126""}]",7180013633,86910268,tempus sit,10/21/2017,12/18/2017
"[{""NPI"":""7803902359""},{""NPI"":""8298837126""}]",5911112973,21798215,vivamus vestibulum,10/8/2017,8/3/2006
"[{""NPI"":""0805024921""},{""NPI"":""4571188919""},{""NPI"":""4232895191""},{""NPI"":""4037920190""}]",9238363994,66368091,neque vestibulum eget vulputate ut,10/5/2018,3/5/2014
"[{""NPI"":""1053627920""},{""NPI"":""2922950425""},{""NPI"":""3542962775""}]",5597346776,76961953,eget semper,1/31/2014,4/6/2016
"[{""NPI"":""3745638867""},{""NPI"":""8274332342""},{""NPI"":""5049892627""},{""NPI"":""5511554030""}]",3853627595,39940123,id sapien in,3/18/2018,12/29/2016
"[{""NPI"":""8930471994""},{""NPI"":""2815572060""}]",6922899598,74929413,varius,6/15/2014,5/9/2015
"[{""NPI"":""0306248255""},{""NPI"":""2922950425""},{""NPI"":""1089995814""}]",8422000008,49400040,odio condimentum id luctus nec molestie,7/3/2016,5/13/2007
"[{""NPI"":""7482370919""},{""NPI"":""1155276051""},{""NPI"":""1277357870""},{""NPI"":""1609004205""},{""NPI"":""7803729053""}]",1565913612,11328531,vitae nisl aenean lectus pellentesque,6/14/2008,2/16/2012
"[{""NPI"":""4138512330""},{""NPI"":""4002482405""},{""NPI"":""0813028183""},{""NPI"":""1008867322""},{""NPI"":""5776107202""}]",0268708940,02340614,felis eu sapien cursus,1/20/2006,9/12/2008
"[{""NPI"":""1784679844""},{""NPI"":""3649717956""},{""NPI"":""7803902359""},{""NPI"":""2163964876""}]",1258430630,92767184,vestibulum velit id pretium iaculis,5/10/2018,2/23/2014
"[{""NPI"":""8410022966""},{""NPI"":""3653644135""}]",0984322248,07019131,massa quis augue luctus tincidunt nulla,11/3/2013,11/2/2007
